product_id,category,product_name,seller_name,seller_verified,seller_rating,listing_age_days,price_inr,category_median_price,price_z_score,img_reverse_match_rate,criteria_met,authenticity_label,split
PRD-000024,electronics,HP Wireless Mouse X3000,ShopNow24x7,1,4.9,472,18590.64,18000,0.109,0.713,1,authentic,train
PRD-000025,electronics,Zebronics Zeb-Sound Bomb X1,Nykaa Fashion Official,1,4.9,1623,17196.37,18000,-0.149,0.85,0,authentic,train
PRD-000026,electronics,realme narzo 60 Pro,Paytm Mall,1,4.3,1389,16319.36,18000,-0.311,0.972,0,authentic,train
PRD-000027,electronics,Motorola Edge 50 Fusion,Paytm Mall,1,4.6,470,15798.29,18000,-0.408,0.954,0,authentic,val
PRD-000028,electronics,Portronics Mport 7C Hub,Reliance Digital Online,1,4.2,991,16186.98,18000,-0.336,0.704,0,authentic,train
PRD-000029,electronics,iQOO Z9x 5G Smartphone,ShopNow24x7,1,4.7,1000,15837.38,18000,-0.4,0.869,0,authentic,train
PRD-000030,electronics,iQOO Z9x 5G Smartphone,TataCliq Direct,1,4.9,380,17021.1,18000,-0.181,0.815,0,authentic,train
PRD-000031,electronics,Dell KB216 Wired Keyboard,Croma Retail,1,4.9,644,19995.82,18000,0.37,0.707,0,authentic,train
PRD-000032,electronics,boAt Nirvana Ion TWS,BigBazaar Online,1,4.1,1451,23204.31,18000,0.964,0.732,0,authentic,train
PRD-000033,electronics,Belkin 65W GaN Charger,GNC India,1,4.6,1585,17877.95,18000,-0.023,0.82,0,authentic,val
PRD-000034,electronics,Logitech MX Master 3S,ShopNow24x7,1,4.3,915,22228.37,18000,0.783,0.769,0,authentic,train
PRD-000035,electronics,Realme 150W Turbo Charger,Meesho Official,1,4.8,416,15183.3,18000,-0.522,0.79,1,authentic,train
PRD-000036,electronics,Realme 150W Turbo Charger,RetailNet India,1,4.2,1055,15543.31,18000,-0.455,0.716,0,authentic,test
PRD-000037,electronics,Xiaomi Redmi Buds 5,Snapdeal Direct,1,4.5,1521,23737.56,18000,1.063,0.846,0,authentic,train
PRD-000038,electronics,Logitech MX Master 3S,BuyersStation,1,4.3,1220,14076.27,18000,-0.727,0.821,0,authentic,train
PRD-000039,electronics,Logitech MX Master 3S,FlipkartRetail,1,4.9,352,14659.62,18000,-0.619,0.968,0,authentic,val
PRD-000040,electronics,Ugreen 100W 4-Port Charger,BigBazaar Online,1,4.2,1441,19516.41,18000,0.281,0.855,0,authentic,train
PRD-000041,electronics,Ugreen 100W 4-Port Charger,BuyersStation,1,4.2,611,18377.61,18000,0.07,0.839,0,authentic,val
PRD-000042,electronics,boAt Rockerz 450 Headphones,Paytm Mall,1,4.4,710,16973.45,18000,-0.19,0.899,1,authentic,test
PRD-000043,electronics,JBL Flip 6 Portable Speaker,QuickBazaar,1,4.6,1735,22911.38,18000,0.91,0.889,0,authentic,val
PRD-000044,electronics,OnePlus Nord CE4 Lite 5G,Paytm Mall,1,4.3,1147,15045.6,18000,-0.547,0.95,0,authentic,train
PRD-000045,electronics,Realme 150W Turbo Charger,Appario Retail,1,4.9,1351,22870.34,18000,0.902,0.978,0,authentic,train
PRD-000046,electronics,HP Wireless Mouse X3000,GNC India,1,4.3,1349,20709.14,18000,0.502,0.728,0,authentic,val
PRD-000047,electronics,Samsung Galaxy M34 5G Smartphone,Vijay Sales,1,4.5,1280,22851.16,18000,0.898,0.922,0,authentic,train
PRD-000048,electronics,Motorola Edge 50 Fusion,GNC India,1,4.2,1453,21197.0,18000,0.592,0.725,0,authentic,train
PRD-000049,electronics,Xiaomi 14 Civi,Snapdeal Direct,1,4.4,1375,16665.26,18000,-0.247,0.921,0,authentic,val
PRD-000050,electronics,Nothing Phone (2a),RetailNet India,1,4.2,319,17984.84,18000,-0.003,0.827,0,authentic,train
PRD-000051,electronics,boAt Rockerz 450 Headphones,Myntra Fashion,1,4.5,406,21897.79,18000,0.722,0.986,1,authentic,train
PRD-000052,electronics,TP-Link Tapo C210,HealthKart Direct,1,4.2,1212,21527.33,18000,0.653,0.871,0,authentic,train
PRD-000053,electronics,Mi 360 Security Camera,TataCliq Direct,1,4.5,658,17032.55,18000,-0.179,0.828,1,authentic,train
PRD-000054,electronics,JBL Tune 770NC Headphones,PharmEasy Direct,1,4.9,1288,14745.11,18000,-0.603,0.943,1,authentic,val
PRD-000055,electronics,Ugreen 100W 4-Port Charger,BigBazaar Online,1,4.9,326,16317.69,18000,-0.312,0.708,0,authentic,val
PRD-000056,electronics,OnePlus Nord CE4 Lite 5G,Cloudtail India,1,4.7,1655,13563.53,18000,-0.822,0.71,0,authentic,train
PRD-000057,electronics,Mi 360 Security Camera,PharmEasy Direct,1,4.9,566,22871.28,18000,0.902,0.717,1,authentic,test
PRD-000058,electronics,Mi 360 Security Camera,Nykaa Fashion Official,1,4.1,919,19403.01,18000,0.26,0.736,0,authentic,train
PRD-000059,electronics,OnePlus Nord CE4 Lite 5G,Cloudtail India,1,4.7,618,20655.06,18000,0.492,0.984,0,authentic,train
PRD-000060,electronics,Redmi Note 13 Pro+ Smartphone,BuyersStation,1,4.7,1612,14573.14,18000,-0.635,0.75,0,authentic,train
PRD-000061,electronics,Anker Q45 Headphones,Croma Retail,1,4.7,1450,15198.02,18000,-0.519,0.866,1,authentic,train
PRD-000062,electronics,Anker PowerCore 20100,Snapdeal Direct,1,4.7,897,19447.73,18000,0.268,0.743,0,authentic,test
PRD-000063,electronics,iQOO Z9x 5G Smartphone,FlipkartRetail,1,4.2,1715,18506.47,18000,0.094,0.788,0,authentic,train
PRD-000064,electronics,vivo V30 Pro 5G,TataCliq Direct,1,4.5,419,20119.53,18000,0.393,0.866,0,authentic,train
PRD-000065,electronics,Belkin 65W GaN Charger,QuickBazaar,1,4.8,735,20824.35,18000,0.523,0.825,0,authentic,train
PRD-000066,electronics,Mi 360 Security Camera,Paytm Mall,1,4.9,387,19587.22,18000,0.294,0.846,0,authentic,train
PRD-000067,electronics,JBL Tune 770NC Headphones,Reliance Digital Online,1,4.2,270,14150.14,18000,-0.713,0.944,0,authentic,train
PRD-000068,electronics,boAt Nirvana Ion TWS,RetailNet India,1,4.4,287,23177.93,18000,0.959,0.704,0,authentic,train
PRD-000069,electronics,OPPO Reno12 5G,BigBazaar Online,1,4.2,1003,25146.93,18000,1.324,0.978,0,authentic,train
PRD-000070,electronics,Motorola Edge 50 Fusion,Paytm Mall,1,4.4,1679,15945.97,18000,-0.38,0.703,0,authentic,train
PRD-000071,electronics,Sony WH-1000XM5,Nykaa Fashion Official,1,5.0,1731,25086.76,18000,1.312,0.943,0,authentic,train
PRD-000072,electronics,TP-Link Tapo C210,Meesho Official,1,4.2,1533,18991.13,18000,0.184,0.826,0,authentic,train
PRD-000073,electronics,OPPO Reno12 5G,GNC India,1,4.1,1203,19235.31,18000,0.229,0.785,0,authentic,train
PRD-000074,electronics,vivo V30 Pro 5G,BuyersStation,1,4.9,1563,21341.38,18000,0.619,0.888,0,authentic,train
PRD-000075,electronics,Zebronics Zeb-Sound Bomb X1,Croma Retail,1,4.4,1688,22492.94,18000,0.832,0.84,0,authentic,val
PRD-000076,electronics,Nothing Phone (2a),Vijay Sales,1,4.9,802,19717.51,18000,0.318,0.845,0,authentic,train
PRD-000077,electronics,Portronics Mport 7C Hub,GNC India,1,4.7,814,15741.76,18000,-0.418,0.798,0,authentic,train
PRD-000078,electronics,TP-Link Archer AX3000,TataCliq Direct,1,4.4,410,16752.86,18000,-0.231,0.702,0,authentic,train
PRD-000079,electronics,Mi 360 Security Camera,BigBazaar Online,1,4.5,1775,21932.14,18000,0.728,0.962,1,authentic,test
PRD-000080,electronics,Logitech MX Master 3S,Appario Retail,1,4.8,364,19971.31,18000,0.365,0.828,0,authentic,val
PRD-000081,electronics,Ugreen 100W 4-Port Charger,QuickBazaar,1,4.2,662,19229.49,18000,0.228,0.925,1,authentic,train
PRD-000082,electronics,Portronics Mport 7C Hub,BuyersStation,1,4.8,846,19998.9,18000,0.37,0.725,0,authentic,train
PRD-000083,electronics,Redmi Note 13 Pro+ Smartphone,Appario Retail,1,4.1,783,21401.08,18000,0.63,0.732,0,authentic,train
PRD-000084,electronics,Zebronics Zeb-Sound Bomb X1,Meesho Official,1,4.1,1477,20776.2,18000,0.514,0.768,0,authentic,train
PRD-000085,electronics,TP-Link Archer AX3000,Croma Retail,1,4.5,227,21357.87,18000,0.622,0.96,0,authentic,train
PRD-000086,electronics,boAt Rockerz 450 Headphones,Myntra Fashion,1,4.4,1562,18144.2,18000,0.027,0.871,0,authentic,train
PRD-000087,electronics,OnePlus Nord CE4 Lite 5G,Snapdeal Direct,1,4.4,317,22946.95,18000,0.916,0.908,1,authentic,train
PRD-000088,electronics,Anker PowerCore 20100,FlipkartRetail,1,4.6,482,20463.99,18000,0.456,0.903,0,authentic,train
PRD-000089,electronics,Xiaomi 14 Civi,Reliance Digital Online,1,4.2,346,15863.15,18000,-0.396,0.719,0,authentic,val
PRD-000090,electronics,Dell KB216 Wired Keyboard,BigBazaar Online,1,4.4,908,22297.97,18000,0.796,0.978,0,authentic,train
PRD-000091,electronics,JBL Tune 770NC Headphones,BuyersStation,1,4.4,1623,22185.12,18000,0.775,0.854,0,authentic,test
PRD-000092,electronics,TP-Link Tapo C210,BuyersStation,1,4.4,467,16813.99,18000,-0.22,0.954,0,authentic,test
PRD-000093,electronics,Ugreen 100W 4-Port Charger,TataCliq Direct,1,4.5,1718,23031.27,18000,0.932,0.896,1,authentic,train
PRD-000094,electronics,OnePlus Nord CE4 Lite 5G,RetailNet India,1,4.2,1090,24677.59,18000,1.237,0.889,0,authentic,val
PRD-000095,electronics,Redmi Note 13 Pro+ Smartphone,BuyersStation,1,4.2,1775,17157.07,18000,-0.156,0.85,0,authentic,train
PRD-000096,electronics,Ugreen 100W 4-Port Charger,Meesho Official,1,4.2,1634,17034.24,18000,-0.179,0.76,0,authentic,train
PRD-000097,electronics,Motorola Edge 50 Fusion,Cloudtail India,1,4.2,851,19445.56,18000,0.268,0.7,0,authentic,test
PRD-000098,electronics,Sony WH-1000XM5,TataCliq Direct,1,4.8,936,17273.14,18000,-0.135,0.776,0,authentic,train
PRD-000099,electronics,TP-Link Tapo C210,Snapdeal Direct,1,4.3,1385,14068.26,18000,-0.728,0.97,0,authentic,train
PRD-000100,electronics,OnePlus Nord CE4 Lite 5G,RetailNet India,1,4.1,696,13608.34,18000,-0.813,0.966,0,authentic,train
PRD-000101,electronics,Motorola Edge 50 Fusion,FlipkartRetail,1,4.7,950,20405.29,18000,0.445,0.865,0,authentic,val
PRD-000102,electronics,OPPO Reno12 5G,GNC India,1,4.5,1748,17729.97,18000,-0.05,0.986,0,authentic,train
PRD-000103,electronics,iQOO Z9x 5G Smartphone,BigBazaar Online,1,4.3,1014,14413.87,18000,-0.664,0.792,0,authentic,train
PRD-000104,electronics,JBL Tune 770NC Headphones,Cloudtail India,1,4.2,1247,22141.39,18000,0.767,0.905,0,authentic,train
PRD-000105,electronics,Motorola Edge 50 Fusion,Vijay Sales,1,4.2,1437,15523.44,18000,-0.459,0.901,0,authentic,train
PRD-000106,electronics,HP Wireless Mouse X3000,Cloudtail India,1,5.0,1116,23998.44,18000,1.111,0.737,0,authentic,train
PRD-000107,electronics,Realme 150W Turbo Charger,FlipkartRetail,1,4.7,657,13712.48,18000,-0.794,0.943,0,authentic,train
PRD-000108,electronics,OPPO Reno12 5G,BigBazaar Online,1,4.6,1169,21428.16,18000,0.635,0.815,0,authentic,val
PRD-000109,electronics,Portronics Mport 7C Hub,FlipkartRetail,1,4.6,859,22813.53,18000,0.891,0.704,0,authentic,train
PRD-000110,electronics,Portronics Mport 7C Hub,GNC India,1,4.3,735,23776.88,18000,1.07,0.913,0,authentic,train
PRD-000111,electronics,realme narzo 60 Pro,Paytm Mall,1,4.8,1044,14724.0,18000,-0.607,0.865,1,authentic,train
PRD-000112,electronics,JBL Flip 6 Portable Speaker,Croma Retail,1,4.3,341,13770.74,18000,-0.783,0.916,1,authentic,train
PRD-000113,electronics,HP Wireless Mouse X3000,HealthKart Direct,1,4.5,1195,20297.58,18000,0.425,0.877,0,authentic,test
PRD-000114,electronics,Realme 150W Turbo Charger,GNC India,1,4.5,289,18111.05,18000,0.021,0.809,0,authentic,test
PRD-000115,electronics,Nothing Phone (2a),Snapdeal Direct,1,4.4,218,14657.42,18000,-0.619,0.771,0,authentic,train
PRD-000116,electronics,boAt Nirvana Ion TWS,BuyersStation,1,4.3,955,16535.45,18000,-0.271,0.836,0,authentic,test
PRD-000117,electronics,realme narzo 60 Pro,PharmEasy Direct,1,4.7,1271,16453.5,18000,-0.286,0.732,0,authentic,train
PRD-000118,electronics,Nothing Phone (2a),HealthKart Direct,1,4.9,350,24650.09,18000,1.231,0.985,0,authentic,train
PRD-000119,electronics,Dell KB216 Wired Keyboard,QuickBazaar,1,4.6,868,20716.05,18000,0.503,0.945,0,authentic,train
PRD-000120,electronics,Anker Q45 Headphones,RetailNet India,1,4.9,787,16963.58,18000,-0.192,0.913,0,authentic,train
PRD-000121,electronics,iQOO Z9x 5G Smartphone,Myntra Fashion,1,4.8,249,14911.67,18000,-0.572,0.973,0,authentic,train
PRD-000122,electronics,OnePlus Nord CE4 Lite 5G,Nykaa Fashion Official,1,4.3,1234,16369.53,18000,-0.302,0.83,0,authentic,val
PRD-000123,electronics,Zebronics Zeb-Sound Bomb X1,QuickBazaar,1,4.6,1346,15386.67,18000,-0.484,0.771,1,authentic,train
PRD-000124,electronics,JBL Flip 6 Portable Speaker,QuickBazaar,1,4.5,1018,19777.85,18000,0.329,0.854,0,authentic,train
PRD-000125,electronics,iQOO Z9x 5G Smartphone,RetailNet India,1,4.5,1722,15413.85,18000,-0.479,0.976,0,authentic,train
PRD-000126,electronics,Samsung Galaxy M34 5G Smartphone,Meesho Official,1,4.9,372,20615.11,18000,0.484,0.793,0,authentic,train
PRD-000127,electronics,Xiaomi Redmi Buds 5,Snapdeal Direct,1,5.0,483,22176.89,18000,0.773,0.937,0,authentic,train
PRD-000128,electronics,HP Wireless Mouse X3000,Snapdeal Direct,1,4.1,733,22795.15,18000,0.888,0.799,0,authentic,train
PRD-000129,electronics,Xiaomi 14 Civi,BuyersStation,1,4.5,1676,13527.01,18000,-0.828,0.885,1,authentic,train
PRD-000130,electronics,JBL Tune 770NC Headphones,Reliance Digital Online,1,4.2,883,18097.25,18000,0.018,0.883,1,authentic,test
PRD-000131,electronics,D-Link Eagle Pro AX3200,Paytm Mall,1,4.7,926,19031.57,18000,0.191,0.874,1,authentic,train
PRD-000132,electronics,realme narzo 60 Pro,Snapdeal Direct,1,4.9,1125,23942.11,18000,1.1,0.83,0,authentic,train
PRD-000133,electronics,Zebronics Zeb-Sound Bomb X1,Snapdeal Direct,1,4.4,765,22140.58,18000,0.767,0.806,0,authentic,train
PRD-000134,electronics,Motorola Edge 50 Fusion,Paytm Mall,1,4.6,1354,21070.74,18000,0.569,0.822,0,authentic,val
PRD-000135,electronics,Anker Q45 Headphones,TataCliq Direct,1,4.2,1520,21169.56,18000,0.587,0.894,0,authentic,train
PRD-000136,electronics,Mi 360 Security Camera,RetailNet India,1,4.8,1702,21313.84,18000,0.614,0.772,0,authentic,train
PRD-000137,electronics,Zebronics Zeb-Sound Bomb X1,FlipkartRetail,1,4.4,635,15869.51,18000,-0.395,0.964,0,authentic,test
PRD-000138,electronics,Realme 150W Turbo Charger,BigBazaar Online,1,4.3,678,24920.7,18000,1.282,0.793,0,authentic,train
PRD-000139,electronics,Anker PowerCore 20100,Cloudtail India,1,4.5,1315,18694.13,18000,0.129,0.877,1,authentic,train
PRD-000140,electronics,Nothing Phone (2a),HealthKart Direct,1,4.5,1062,17409.1,18000,-0.109,0.883,0,authentic,train
PRD-000141,electronics,HP Wireless Mouse X3000,QuickBazaar,1,5.0,1546,22446.61,18000,0.823,0.916,0,authentic,train
PRD-000142,electronics,OPPO Reno12 5G,BigBazaar Online,1,4.4,1224,20355.75,18000,0.436,0.775,0,authentic,val
PRD-000143,electronics,Mi 360 Security Camera,ShopNow24x7,1,4.3,1574,17432.72,18000,-0.105,0.702,0,authentic,train
PRD-000144,electronics,Anker Q45 Headphones,PharmEasy Direct,1,4.3,1712,20750.12,18000,0.509,0.823,1,authentic,val
PRD-000145,electronics,realme narzo 60 Pro,GNC India,1,4.8,403,23852.73,18000,1.084,0.778,0,authentic,train
PRD-000146,electronics,OnePlus Nord CE4 Lite 5G,RetailNet India,1,4.6,866,21528.11,18000,0.653,0.845,0,authentic,train
PRD-000147,electronics,iQOO Z9x 5G Smartphone,PharmEasy Direct,1,4.4,661,14101.6,18000,-0.722,0.823,0,authentic,test
PRD-000148,electronics,TP-Link Archer AX3000,Nykaa Fashion Official,1,4.8,1697,22261.2,18000,0.789,0.793,0,authentic,val
PRD-000149,electronics,vivo V30 Pro 5G,FlipkartRetail,1,4.9,1663,19745.93,18000,0.323,0.745,0,authentic,train
PRD-000150,electronics,Xiaomi 14 Civi,Cloudtail India,1,4.5,1558,21131.41,18000,0.58,0.71,0,authentic,train
PRD-000151,electronics,Redmi Note 13 Pro+ Smartphone,HealthKart Direct,1,4.8,1076,14585.25,18000,-0.632,0.938,0,authentic,train
PRD-000152,electronics,Realme 150W Turbo Charger,ShopNow24x7,1,4.8,506,18936.75,18000,0.173,0.918,0,authentic,test
PRD-000153,electronics,Belkin 65W GaN Charger,BuyersStation,1,4.8,1738,15562.61,18000,-0.451,0.725,0,authentic,train
PRD-000154,electronics,Redmi Note 13 Pro+ Smartphone,Meesho Official,1,5.0,1563,18750.14,18000,0.139,0.89,0,authentic,val
PRD-000155,electronics,Dell KB216 Wired Keyboard,PharmEasy Direct,1,4.9,916,21176.06,18000,0.588,0.764,0,authentic,train
PRD-000156,electronics,Samsung Galaxy M34 5G Smartphone,Vijay Sales,1,4.6,802,13810.96,18000,-0.776,0.906,0,authentic,train
PRD-000157,electronics,JBL Tune 770NC Headphones,Reliance Digital Online,1,4.3,647,23171.35,18000,0.958,0.92,0,authentic,train
PRD-000158,electronics,iQOO Z9x 5G Smartphone,Croma Retail,1,4.4,909,14273.13,18000,-0.69,0.896,0,authentic,train
PRD-000159,electronics,Realme 150W Turbo Charger,HealthKart Direct,1,4.7,1440,18998.48,18000,0.185,0.958,0,authentic,train
PRD-000160,electronics,boAt Nirvana Ion TWS,Appario Retail,1,4.3,948,21450.47,18000,0.639,0.757,0,authentic,train
PRD-000161,electronics,Sony WH-1000XM5,BuyersStation,1,4.5,1024,23565.3,18000,1.031,0.739,0,authentic,train
PRD-000162,electronics,OPPO Reno12 5G,Appario Retail,1,4.4,734,15903.07,18000,-0.388,0.877,0,authentic,val
PRD-000163,electronics,Zebronics Zeb-Sound Bomb X1,FlipkartRetail,1,4.2,924,23472.87,18000,1.013,0.735,0,authentic,train
PRD-000164,electronics,Motorola Edge 50 Fusion,PharmEasy Direct,1,4.1,520,24599.15,18000,1.222,0.794,0,authentic,test
PRD-000165,electronics,boAt Nirvana Ion TWS,ShopNow24x7,1,4.4,1752,20341.61,18000,0.434,0.815,0,authentic,test
PRD-000166,electronics,OnePlus Nord CE4 Lite 5G,PharmEasy Direct,1,4.9,347,17696.47,18000,-0.056,0.871,0,authentic,train
PRD-000167,electronics,Belkin 65W GaN Charger,Meesho Official,1,4.9,1681,17352.37,18000,-0.12,0.814,0,authentic,train
PRD-000168,electronics,Anker Q45 Headphones,ShopNow24x7,1,4.6,1247,17545.05,18000,-0.084,0.793,0,authentic,train
PRD-000169,electronics,Motorola Edge 50 Fusion,Croma Retail,1,4.5,1351,20083.27,18000,0.386,0.762,0,authentic,test
PRD-000170,electronics,HP Wireless Mouse X3000,RetailNet India,1,4.7,1147,24562.58,18000,1.215,0.715,0,authentic,train
PRD-000171,electronics,Realme 150W Turbo Charger,PharmEasy Direct,1,4.1,187,20083.22,18000,0.386,0.897,0,authentic,train
PRD-000172,electronics,TP-Link Tapo C210,BuyersStation,1,4.5,984,22703.8,18000,0.871,0.702,0,authentic,test
PRD-000173,electronics,JBL Tune 770NC Headphones,HealthKart Direct,1,4.3,1095,22566.42,18000,0.846,0.747,0,authentic,train
PRD-000174,electronics,Dell KB216 Wired Keyboard,Appario Retail,1,4.9,1740,20452.99,18000,0.454,0.754,0,authentic,val
PRD-000175,electronics,Mi 360 Security Camera,Croma Retail,1,4.6,960,20604.37,18000,0.482,0.985,0,authentic,train
PRD-000176,electronics,Sony WH-1000XM5,FlipkartRetail,1,4.8,371,16827.45,18000,-0.217,0.943,0,authentic,val
PRD-000177,electronics,Samsung Galaxy M34 5G Smartphone,GNC India,1,4.5,1023,15411.68,18000,-0.479,0.9,0,authentic,train
PRD-000178,electronics,Redmi Note 13 Pro+ Smartphone,Vijay Sales,1,4.6,927,15133.6,18000,-0.531,0.762,0,authentic,train
PRD-000179,electronics,realme narzo 60 Pro,Croma Retail,1,4.5,1714,24900.68,18000,1.278,0.935,0,authentic,test
PRD-000180,electronics,Logitech MX Master 3S,HealthKart Direct,1,4.5,1207,13920.02,18000,-0.756,0.825,0,authentic,train
PRD-000181,electronics,Redmi Note 13 Pro+ Smartphone,BuyersStation,1,4.4,1323,14027.84,18000,-0.736,0.962,1,authentic,train
PRD-000182,electronics,vivo V30 Pro 5G,Appario Retail,1,4.9,1697,24214.21,18000,1.151,0.855,0,authentic,train
PRD-000183,electronics,Portronics Mport 7C Hub,Appario Retail,1,5.0,647,16846.75,18000,-0.214,0.755,1,authentic,train
PRD-000184,electronics,Logitech MX Master 3S,FlipkartRetail,1,4.8,1326,23353.21,18000,0.991,0.983,1,authentic,test
PRD-000185,electronics,Nothing Phone (2a),Croma Retail,1,4.6,1743,21746.61,18000,0.694,0.982,0,authentic,train
PRD-000186,electronics,TP-Link Tapo C210,Meesho Official,1,4.4,495,14406.0,18000,-0.666,0.726,0,authentic,train
PRD-000187,electronics,Motorola Edge 50 Fusion,HealthKart Direct,1,5.0,513,19534.34,18000,0.284,0.763,1,authentic,test
PRD-000188,electronics,Anker PowerCore 20100,Cloudtail India,1,4.2,1691,20152.27,18000,0.399,0.757,1,authentic,val
PRD-000189,electronics,Belkin 65W GaN Charger,Myntra Fashion,1,4.8,507,23610.4,18000,1.039,0.879,1,authentic,train
PRD-000190,electronics,boAt Nirvana Ion TWS,BuyersStation,1,4.5,1185,22518.05,18000,0.837,0.81,0,authentic,val
PRD-000191,electronics,OnePlus Nord CE4 Lite 5G,Snapdeal Direct,1,4.7,442,21946.31,18000,0.731,0.766,0,authentic,train
PRD-000192,electronics,Zebronics Zeb-Sound Bomb X1,RetailNet India,1,4.2,1133,19445.86,18000,0.268,0.851,0,authentic,val
PRD-000193,electronics,realme narzo 60 Pro,Reliance Digital Online,1,4.5,1673,20437.59,18000,0.451,0.719,0,authentic,train
PRD-000194,electronics,Belkin 65W GaN Charger,Appario Retail,1,5.0,208,19064.07,18000,0.197,0.96,0,authentic,val
PRD-000195,electronics,D-Link Eagle Pro AX3200,BigBazaar Online,1,4.8,1643,23517.88,18000,1.022,0.885,0,authentic,val
PRD-000196,electronics,JBL Flip 6 Portable Speaker,Snapdeal Direct,1,5.0,1321,23001.84,18000,0.926,0.823,0,authentic,train
PRD-000197,electronics,Xiaomi Redmi Buds 5,BuyersStation,1,4.8,746,20833.85,18000,0.525,0.758,0,authentic,train
PRD-000198,electronics,Anker PowerCore 20100,FlipkartRetail,1,5.0,1479,16908.55,18000,-0.202,0.757,0,authentic,train
PRD-000199,electronics,OnePlus Nord CE4 Lite 5G,Paytm Mall,1,4.3,1397,15224.88,18000,-0.514,0.839,0,authentic,train
PRD-000200,electronics,JBL Tune 770NC Headphones,FlipkartRetail,1,4.6,1523,19129.14,18000,0.209,0.72,0,authentic,train
PRD-000201,electronics,OPPO Reno12 5G,QuickBazaar,1,4.3,764,18087.1,18000,0.016,0.836,0,authentic,train
PRD-000202,electronics,Nothing Phone (2a),RetailNet India,1,4.2,621,17044.69,18000,-0.177,0.827,0,authentic,train
PRD-000203,electronics,Zebronics Zeb-Sound Bomb X1,Appario Retail,1,4.5,1686,23645.92,18000,1.046,0.886,1,authentic,train
PRD-000204,electronics,Mi 360 Security Camera,GNC India,1,4.8,761,13684.92,18000,-0.799,0.724,0,authentic,train
PRD-000205,electronics,boAt Nirvana Ion TWS,TataCliq Direct,1,4.6,1416,14771.29,18000,-0.598,0.943,0,authentic,train
PRD-000206,electronics,realme narzo 60 Pro,Nykaa Fashion Official,1,5.0,1262,17177.87,18000,-0.152,0.958,0,authentic,train
